Spectrum,Weighted_Mean_Age,Bootstrap_Uncertainty
sn1999cp-19990622.20-fast_snid,-1.60,0.17
sn1997do-19980101.40-fast_snid,36.67,0.60
sn1998dm-19980930.36-fast_snid,31.91,0.50
sn2003K-20030130.55-fast_snid,16.54,0.73
sn2001ay-20010516.26-fast_snid,27.92,0.55
sn2006dt-20060722.19-fast_snid,-0.15,0.19
sn1998dm-19980918.40-fast_snid,16.51,0.57
sn2002ef-20020801.44-fast_snid,-1.92,0.17
sn2003W-20030307.28-fast_snid,32.15,0.59
sn2001C-20010402.15-fast_snid,44.24,2.00
sn1998V-19980502.49-fast_snid,35.88,0.50
sn2007le-20071102.13-fast_snid,3.79,0.21
sn1998es-19981123.30-fast_snid,-1.42,0.19
sn2000cx-20001217.22-fast_snid,179.73,10.48
sn2002bo-20020413.19-fast_snid,27.86,0.61
sn2002eu-20020913.40-fast_snid,17.52,0.45
sn2008Z-20080210.33-fast_snid,-1.86,0.24
sn1999cl-19990721.17-fast_snid,35.10,0.51
sn2002fk-20021208.29-fast_snid,48.36,1.13
sn2007bj-20070514.35-fast_snid,33.49,0.50
sn2003kc-20031203.49-fast_snid,-0.49,0.18
sn2002es-20020928.43-fast_snid,29.56,0.56
sn2000B-20000227.27-fast_snid,33.96,0.49
sn2007al-20070314.26-fast_snid,0.07,0.54
sn2008ar-20080305.38-fast_snid,-2.77,0.18
sn2003fa-20030627.30-fast_snid,10.29,1.08
sn2000B-20000309.13-fast_snid,36.00,0.73
sn2007kk-20071017.40-fast_snid,5.32,0.19
sn2001V-20010619.23-mmt_snid,63.37,2.31
sn1995D-19951124.46-mmt_snid,148.62,14.90
sn2004as-20040320.38-fast_snid,-1.04,0.18
sn2003kf-20050111.11-ldss2_snid,183.16,29.38
sn2006le-20061122.38-fast_snid,16.49,0.65
sn2000dk-20001124.20-fast_snid,45.27,1.00
sn2003it-20031031.23-fast_snid,4.85,0.21
sn2001V-20010317.45-fast_snid,14.12,0.53
sn2004ct-20040716.21-fast_snid,28.20,1.17
sn1998dk-19980916.40-fast_snid,15.87,0.37
sn2008bf-20080530.16-fast_snid,41.53,1.04
sn2002eu-20020929.37-fast_snid,30.03,0.39
sn1999dq-19990907.48-fast_snid,-5.59,0.34
sn1996bt-19961112.44-fast_snid,30.18,0.61
sn2000dk-20001029.27-fast_snid,32.11,0.41
sn2005na-20060109.43-fast_snid,-0.25,0.18
sn1999aa-19990413.14-fast_snid,35.72,0.52
sn2007B-20070115.09-fast_snid,-0.77,0.16
sn2001ie-20011214.51-fast_snid,2.89,0.18
sn2004dt-20041011.37-fast_snid,39.06,0.80
sn2004gs-20041218.46-fast_snid,2.29,0.19
sn1999X-19990209.32-fast_snid,17.95,0.51
sn2000dn-20001006.25-fast_snid,-1.71,0.16
sn1998bu-19980702.16-fast_snid,36.64,0.65
sn2003W-20030326.31-fast_snid,34.35,0.66
sn2003S-20030127.49-fast_snid,-0.70,0.17
sn2007fb-20070904.38-fast_snid,46.75,1.29
sn2000cn-20000621.37-fast_snid,17.08,0.49
sn2002fk-20021010.43-fast_snid,4.78,0.18
sn1997cn-19970601.35-fast_snid,27.05,0.44
sn2003ek-20030610.45-mmt_snid,27.65,0.37
sn2000fa-20010115.41-fast_snid,31.84,0.42
sn2003du-20030509.29-fast_snid,-1.51,0.15
sn2001ah-20010329.25-fast_snid,-5.64,0.36
sn2006gj-20060920.43-fast_snid,-0.65,0.16
sn2006oa-20061125.08-fast_snid,-2.00,0.22
sn2007ap-20070319.46-fast_snid,16.32,0.46
sn2005mc-20060104.38-fast_snid,7.12,0.23
sn2004as-20040321.27-fast_snid,-0.86,0.18
sn2001V-20010524.30-mmt_snid,46.91,1.37
sn2001V-20010222.44-fast_snid,-5.66,0.37
sn1994D-19940503.25-fast_snid,37.40,0.64
sn2002ck-20020507.38-fast_snid,0.24,0.17
sn2001bg-20010521.14-fast_snid,9.39,0.18
sn2001fe-20020118.37-fast_snid,36.81,0.97
sn2004bd-20040428.19-fast_snid,28.10,0.38
sn2007bk-20070422.38-fast_snid,36.53,0.62
sn2003fa-20030609.38-fast_snid,-3.74,0.30
sn2006hb-20061002.47-fast_snid,9.03,0.28
sn1998bn-19980501.25-fast_snid,-1.90,0.15
sn2003cq-20030403.28-fast_snid,-1.91,0.18
sn2004as-20040419.26-fast_snid,30.69,0.35
sn2001bf-20010715.40-mmt_snid,49.85,1.27
sn2006dt-20060723.19-fast_snid,-0.71,0.15
sn2005eu-20051007.38-fast_snid,-0.01,0.59
sn2002cd-20020410.49-fast_snid,-1.91,0.16
sn2007ci-20070521.19-fast_snid,-1.24,0.17
sn2006gr-20060927.30-fast_snid,-2.41,0.21
sn2008Z-20080510.15-fast_snid,85.49,3.42
sn1995D-19950525.20-fast_snid,65.17,2.07
sn2000B-20000304.16-fast_snid,36.06,0.61
sn2002ey-20020910.32-fast_snid,1.08,0.23
sn2002fk-20030104.17-fast_snid,83.95,2.35
sn2007su-20080101.09-fast_snid,2.83,0.23
sn2002dj-20020619.18-fast_snid,-1.33,0.16
sn2003ch-20030401.17-fast_snid,-0.06,0.16
sn1996ab-19960522.37-fast_snid,-0.66,0.23
sn2007co-20070614.38-fast_snid,-1.06,0.16
sn2008Z-20080212.33-fast_snid,-1.65,0.23
sn2005el-20050928.47-fast_snid,-2.06,0.17
sn2005ej-20050927.22-fast_snid,-0.08,0.16
sn2002bo-20020411.19-fast_snid,24.66,0.61
sn2003du-20030530.24-fast_snid,30.25,0.60
sn2003kf-20040118.31-mmt_snid,34.13,0.56
sn2003eh-20030601.16-fast_snid,19.57,0.93
sn2008bf-20080406.29-fast_snid,1.28,0.18
sn2007jg-20070920.46-fast_snid,-2.34,0.17
sn2002fk-20021204.27-fast_snid,46.87,0.98
sn1998ab-19980418.28-fast_snid,8.64,0.70
sn1994ae-19950501.20-fast_snid,163.69,8.82
sn2006cp-20060618.21-fast_snid,3.06,0.19
sn2008ar-20080307.38-fast_snid,-2.10,0.17
sn2003fa-20030625.30-fast_snid,2.08,0.18
sn2003hw-20030918.43-fast_snid,35.61,6.47
sn1997cn-19970530.20-fast_snid,27.35,0.43
sn2001V-20010401.22-fast_snid,31.21,0.51
sn2002cd-20020419.48-fast_snid,-0.87,0.18
sn1997Y-19970214.47-fast_snid,3.27,0.17
sn1998bu-19980619.14-fast_snid,30.81,0.44
sn2003ic-20031002.25-fast_snid,14.56,0.77
sn1998ef-19981029.31-fast_snid,-1.04,0.16
sn2007ci-20070522.19-fast_snid,-0.96,0.17
sn1999cc-19990514.36-fast_snid,-1.60,0.17
sn2005M-20050317.25-fast_snid,30.99,0.39
sn2003iv-20031019.38-fast_snid,-1.56,0.15
sn2007sr-20071230.54-fast_snid,17.46,0.52
sn1994T-19940611.21-fast_snid,0.23,0.20
sn1996X-19960417.33-fast_snid,-1.53,0.16
sn1998ef-19981115.25-fast_snid,26.64,0.56
sn1999ac-19990413.47-fast_snid,29.55,0.38
sn1999aa-19990409.14-fast_snid,34.35,0.45
sn2006gr-20061017.24-fast_snid,17.52,0.66
sn1995E-19950331.22-mmt_snid,30.60,0.37
sn2001ay-20010618.30-mmt_snid,35.59,0.50
sn2003iv-20031023.35-fast_snid,-0.89,0.16
sn2007qe-20071204.14-fast_snid,6.51,0.21
sn2007cg-20070516.24-fast_snid,7.96,0.19
sn2006bt-20060507.30-fast_snid,-0.41,0.20
sn2002kf-20030113.31-fast_snid,17.66,0.53
sn2001eh-20011017.33-fast_snid,32.62,0.49
sn2004dt-20040915.45-fast_snid,29.41,0.37
sn2003du-20030525.21-fast_snid,25.00,0.73
sn2006et-20060922.37-fast_snid,1.19,0.17
sn2001ay-20010426.41-mmt_snid,0.51,0.28
sn2007fs-20070905.28-fast_snid,38.04,0.71
sn2002cx-20020606.18-fast_snid,31.46,0.41
sn1999dq-19990904.48-fast_snid,-6.43,0.35
sn2003ch-20030329.17-fast_snid,-0.79,0.16
sn1994D-19940515.20-fast_snid,43.29,1.06
sn2007le-20071115.16-fast_snid,25.43,0.63
sn2007bm-20070514.16-fast_snid,15.37,0.47
sn2004gs-20041215.48-fast_snid,0.69,0.18
sn1996bo-19961109.28-fast_snid,12.51,0.23
sn2008L-20080202.15-fast_snid,0.55,0.17
sn2001C-20010325.25-mmt_snid,46.44,1.66
sn1998dx-19980915.22-fast_snid,-0.22,0.20
sn1998es-19990116.11-fast_snid,36.46,0.51
sn2007fb-20070718.48-fast_snid,18.61,0.65
sn2006cp-20060620.19-fast_snid,7.26,0.18
sn2005kc-20051227.08-fast_snid,31.07,0.40
sn2001V-20010328.29-fast_snid,27.51,0.64
sn2008ae-20080213.35-fast_snid,11.59,0.87
sn2007af-20070521.26-fast_snid,46.56,1.01
sn2004B-20040128.16-fast_snid,27.68,0.62
sn2003de-20030408.23-fast_snid,-0.24,0.16
sn2001ie-20020109.47-fast_snid,-1.00,-1.00
sn2007ba-20070409.43-fast_snid,-0.22,0.23
sn2005eu-20051125.23-fast_snid,33.77,0.52
sn1998aq-19980702.17-fast_snid,49.42,1.14
sn2005ke-20051221.23-fast_snid,28.93,0.53
sn2006cf-20060521.27-fast_snid,-0.38,0.15
sn2006em-20060902.41-fast_snid,4.00,0.89
sn2008A-20080210.10-fast_snid,27.95,0.85
sn1999dq-19990906.43-fast_snid,-6.35,0.34
sn1998bu-19980701.16-fast_snid,36.30,0.62
sn2003du-20030604.35-fast_snid,32.37,0.42
sn2008ar-20080310.36-fast_snid,-1.70,0.16
sn2004at-20040427.26-fast_snid,31.71,0.36
sn1997bq-19970509.16-fast_snid,28.15,0.61
sn2003iv-20031029.34-fast_snid,4.53,0.18
sn2007le-20080112.08-fast_snid,44.86,1.75
sn2003ek-20030525.37-fast_snid,3.02,0.36
sn2002cr-20020503.29-fast_snid,-1.72,0.17
sn2001ep-20011024.43-fast_snid,4.59,0.19
sn1998co-19980730.45-fast_snid,15.36,1.31
sn2003Y-20030203.31-fast_snid,0.01,0.60
snf20080522-000-20080605.19-fast_snid,-0.99,0.26
sn1998ec-19980929.52-fast_snid,-1.54,0.16
sn2003ek-20030523.33-fast_snid,1.11,0.20
sn2001en-20011011.39-fast_snid,-1.27,0.16
sn2000bk-20000502.23-fast_snid,30.86,0.40
sn2001bp-20010517.46-fast_snid,-0.99,0.18
sn1999gd-20000111.40-fast_snid,29.87,0.79
sn1997E-19970131.26-fast_snid,21.71,0.68
sn1998bu-19980618.14-fast_snid,30.82,0.42
sn2001ep-20011115.37-fast_snid,29.33,0.39
sn1998ab-19980516.24-fast_snid,30.99,0.36
sn2002ck-20020502.46-fast_snid,-1.43,0.15
sn2006cq-20060531.27-fast_snid,-1.97,0.16
sn1994M-19940508.26-fast_snid,0.36,0.18
sn1996X-19960615.28-fast_snid,42.84,1.04
sn2004gs-20050109.38-fast_snid,30.08,0.38
sn2003iu-20031023.31-fast_snid,7.98,0.64
sn2004ef-20040922.22-fast_snid,4.47,0.30
sn2006lf-20061101.40-fast_snid,-1.69,0.17
sn2008Q-20080203.12-fast_snid,-1.78,0.17
sn2002cd-20020412.49-fast_snid,-1.40,0.16
sn2001eo-20011013.50-fast_snid,2.09,0.18
sn2003iu-20031025.35-fast_snid,15.49,1.33
snf20080522-011-20080730.18-mmt_snid,39.76,0.80
sn1999aa-19990218.25-fast_snid,-3.69,0.36
sn2006nz-20061117.18-fast_snid,1.69,0.26
sn2001bf-20010521.43-fast_snid,-0.71,0.18
sn2005A-20050108.13-fast_snid,-0.42,0.20
sn2001fe-20011220.52-fast_snid,31.95,0.48
sn2002bf-20020316.32-fast_snid,13.19,0.23
sn2002eu-20020910.40-fast_snid,8.03,0.20
sn1994S-19940611.28-fast_snid,-2.27,0.15
sn2002bo-20020410.27-fast_snid,23.45,0.63
sn2008Z-20080213.33-fast_snid,-1.60,0.22
sn1997br-19970429.28-fast_snid,9.88,0.22
sn2007le-20071213.21-fast_snid,35.70,0.72
sn1999X-19990206.28-fast_snid,7.50,0.19
sn2008A-20080114.12-fast_snid,4.55,0.99
sn2004L-20040128.37-fast_snid,0.41,0.16
sn2001en-20011024.25-fast_snid,18.14,0.53
sn2007F-20070219.43-fast_snid,30.71,0.54
sn1998ec-19981015.48-fast_snid,13.47,0.37
sn2005hc-20051105.31-fast_snid,17.26,0.87
sn2001ep-20011025.43-fast_snid,7.37,0.24
sn2000ce-20000525.15-fast_snid,29.92,0.58
sn2002hu-20030129.18-mmt_snid,44.47,1.03
sn2003eh-20030528.17-fast_snid,27.38,7.59
sn2003ae-20030310.26-fast_snid,35.68,0.60
sn2006lf-20061028.51-fast_snid,-2.29,0.72
sn2007ca-20070520.22-fast_snid,15.60,0.71
sn2005am-20050509.14-fast_snid,49.11,1.28
sn2003kc-20031219.49-fast_snid,17.42,0.40
sn2006ac-20060224.37-fast_snid,10.69,0.22
sn2007ss-20080101.48-fast_snid,16.72,0.48
sn1998aq-19980621.18-fast_snid,41.41,0.71
sn1998co-19980630.47-fast_snid,7.51,0.20
sn2001V-20010329.29-fast_snid,28.74,0.61
sn2008ae-20080212.35-fast_snid,6.94,1.15
sn2007fb-20070719.48-fast_snid,21.03,0.71
sn1998dh-19980804.36-fast_snid,-1.14,0.15
sn2003fd-20030705.26-mmt_snid,25.11,0.71
sn2003cq-20030410.22-fast_snid,-0.97,0.17
sn2005am-20050503.15-fast_snid,40.82,1.09
sn1999gp-20000105.10-fast_snid,-1.59,0.18
sn2003lc-20031228.11-fast_snid,-0.25,0.15
sn1999gh-19991229.45-fast_snid,31.23,0.38
sn2001bg-20010530.15-fast_snid,26.02,0.62
sn2003kf-20031216.37-fast_snid,3.97,0.21
sn1998D-19980222.43-fast_snid,27.79,0.38
sn2007B-20070117.09-fast_snid,-0.26,0.16
sn2007bc-20070416.21-fast_snid,3.80,0.16
snf20080514-002-20080607.22-fast_snid,21.75,0.71
sn2005M-20050204.26-fast_snid,-1.08,0.21
sn1999X-19990215.29-fast_snid,26.90,0.59
sn2003ia-20030930.13-fast_snid,28.09,0.37
sn2005el-20051202.43-fast_snid,44.41,1.03
sn2002kf-20030127.21-fast_snid,30.46,0.38
sn1996V-19960411.24-fast_snid,15.95,0.61
sn2002bz-20020411.47-fast_snid,2.11,0.17
sn2006N-20060128.22-fast_snid,-0.42,0.17
sn2003ae-20030209.37-fast_snid,12.27,0.19
sn2002cd-20020422.49-fast_snid,0.25,0.23
sn2007if-20071011.30-fast_snid,33.67,0.53
sn2005ke-20051205.26-fast_snid,20.38,0.95
sn2001gc-20011204.36-fast_snid,2.11,0.22
sn2004ef-20040914.18-fast_snid,-1.77,0.19
sn1994ae-19950103.48-fast_snid,33.87,0.43
sn2008bf-20080402.35-fast_snid,-1.11,0.16
sn2007le-20071104.31-fast_snid,8.81,0.19
sn2005ao-20050313.51-fast_snid,-0.52,0.17
sn1999be-19990418.18-fast_snid,33.47,0.42
sn2005eq-20051202.27-mmt_snid,37.07,0.51
sn1998dx-19980918.15-fast_snid,-0.51,0.17
sn2001V-20010323.24-fast_snid,22.00,0.71
sn2006bt-20060502.33-fast_snid,-1.66,0.18
sn2007af-20070710.17-fast_snid,94.39,4.63
sn2007F-20070117.53-fast_snid,-2.04,0.18
sn2001eh-20010915.42-fast_snid,-1.72,0.15
sn1998cs-19980701.20-fast_snid,-3.03,0.26
sn2007hj-20070909.35-fast_snid,0.71,0.17
sn2003cg-20030409.23-fast_snid,7.49,0.19
sn2005am-20050311.23-fast_snid,0.27,0.18
sn1998dm-19980921.41-fast_snid,21.46,0.73
sn2003kf-20031218.35-fast_snid,9.30,0.17
sn2006gr-20060928.18-fast_snid,-1.99,0.19
sn2005ke-20051201.29-fast_snid,13.32,1.12
sn2007hj-20070905.30-fast_snid,-1.10,0.16
sn2003it-20031021.31-fast_snid,-1.81,0.16
sn2001fe-20020107.34-fast_snid,36.07,0.77
sn1998bu-19980601.18-fast_snid,19.38,0.75
sn2008A-20080201.09-fast_snid,29.19,0.38
sn1998es-19981121.23-fast_snid,-1.83,0.27
sn2006N-20060122.23-fast_snid,-1.72,0.16
sn1998ab-19980429.28-fast_snid,26.97,0.60
sn2000fd-20001226.15-fast_snid,-4.34,0.67
sn2003W-20030206.32-fast_snid,-1.22,0.24
sn2007le-20071112.20-fast_snid,21.54,0.64
sn1999gh-19991210.50-fast_snid,21.44,0.55
sn2003du-20030427.24-fast_snid,-2.03,0.17
sn1998de-19980727.45-fast_snid,-0.39,0.28
sn2005kc-20051205.09-fast_snid,21.43,0.62
sn2002eu-20020905.49-fast_snid,0.27,0.17
sn1995bd-19960224.11-mmt_snid,36.21,0.62
sn2001ay-20010618.22-fast_snid,35.43,0.49
sn2006ax-20060324.30-fast_snid,-1.63,0.18
sn2007ci-20070519.18-fast_snid,-1.25,0.17
sn2002de-20020606.22-fast_snid,-1.64,0.20
sn2004as-20040422.33-fast_snid,31.11,0.39
sn2002do-20020718.29-fast_snid,26.68,0.52
sn1996X-19960418.31-fast_snid,-1.40,0.15
sn1999gp-20000114.16-fast_snid,1.32,0.18
sn2006X-20060424.22-fast_snid,45.12,1.50
sn2002cr-20020603.16-fast_snid,30.42,0.56
sn1999gh-19991209.50-fast_snid,17.58,0.49
sn2006H-20060123.13-fast_snid,6.87,0.49
sn2007ca-20070516.26-fast_snid,3.07,0.18
sn2002fk-20030129.22-mmt_snid,118.73,6.47
sn2001gc-20011214.46-fast_snid,15.15,0.39
sn1996ai-19960706.23-fast_snid,17.84,0.51
sn2006cs-20060605.26-fast_snid,-1.16,0.23
sn2005cf-20050601.26-fast_snid,-1.71,0.20
sn2002do-20020704.39-fast_snid,26.17,0.80
sn2003kd-20031127.26-fast_snid,-1.36,0.16
sn2000cf-20000603.33-fast_snid,31.56,0.40
sn2001br-20010524.46-mmt_snid,-0.33,0.17
sn2006X-20060504.18-fast_snid,49.29,1.94
sn1994D-19951124.46-mmt_snid,147.95,10.93
sn2007af-20070317.42-fast_snid,-0.36,0.16
sn2007bc-20070610.18-fast_snid,42.61,0.80
sn2006kf-20061027.39-fast_snid,-2.22,0.16
sn2000dk-20000920.39-fast_snid,-2.05,0.16
sn2004L-20040226.27-fast_snid,31.27,0.40
sn2004gs-20050106.40-fast_snid,30.49,0.37
sn1993ac-19931016.49-mmt_snid,2.05,0.20
sn2005cc-20050603.27-fast_snid,25.27,0.91
sn2002ck-20020519.24-fast_snid,26.11,0.71
sn2001G-20010125.34-fast_snid,-0.81,0.17
sn2007jg-20071006.44-fast_snid,15.82,0.52
sn2002fk-20021003.45-fast_snid,-1.62,0.15
sn2002cd-20020513.47-fast_snid,16.53,0.29
sn1999dq-19990916.45-fast_snid,-1.37,0.16
sn2002jg-20021227.08-fast_snid,28.52,0.38
sn2006N-20060131.22-fast_snid,1.22,0.17
sn2001az-20010430.40-fast_snid,-1.65,0.17
sn1997bq-19970412.13-fast_snid,-1.07,0.18
sn2003ge-20030704.18-mmt_snid,30.09,0.35
sn2006X-20060305.46-fast_snid,14.67,0.36
sn2006lf-20061112.37-fast_snid,1.41,0.18
sn2008bf-20080415.24-fast_snid,24.39,0.95
sn2007kf-20071007.12-fast_snid,34.81,0.53
sn2006lf-20061117.42-fast_snid,17.75,0.58
sn2001cp-20010621.45-fast_snid,-2.09,0.17
sn2001gc-20011122.26-fast_snid,-1.59,0.17
sn2001ah-20010328.22-fast_snid,-5.29,0.32
sn2005lu-20051223.16-fast_snid,17.05,0.80
sn2003hv-20031121.21-ldss2_snid,67.24,1.82
sn2007le-20071018.23-fast_snid,-2.82,0.19
sn2001da-20010715.47-mmt_snid,-1.50,0.17
sn2007ba-20070411.50-fast_snid,1.58,0.24
sn2001G-20010423.19-fast_snid,40.55,2.20
sn1997cn-19970531.33-fast_snid,27.75,0.40
sn2003kg-20031129.12-fast_snid,0.76,0.19
sn2006lf-20061031.42-fast_snid,-1.53,0.18
sn2000fo-20001229.11-fast_snid,0.69,0.17
sn2002cd-20020617.45-fast_snid,40.12,1.15
sn2000cw-20000726.46-fast_snid,-0.26,0.16
sn2004fz-20041117.41-fast_snid,-1.27,0.16
sn1999X-19990207.41-fast_snid,12.48,0.36
sn2006bt-20060503.33-fast_snid,-1.49,0.18
sn1999aa-19990214.33-fast_snid,-6.82,0.31
sn2007co-20070911.16-mmt_snid,51.43,1.88
sn2006gr-20060925.23-fast_snid,-3.26,0.21
sn1999gm-19991229.39-fast_snid,23.59,0.61
sn2002he-20021113.53-fast_snid,0.88,0.19
sn2008ae-20080211.32-fast_snid,6.43,1.63
sn1995E-19950308.16-mmt_snid,6.15,0.24
sn2007F-20070318.37-fast_snid,36.87,0.76
sn2003W-20030331.19-fast_snid,24.39,1.49
sn2006N-20060130.22-fast_snid,0.42,0.18
sn2007ci-20070520.20-fast_snid,-1.24,0.17
sn1999gj-19991209.53-fast_snid,29.60,1.26
sn2008Q-20080206.11-fast_snid,-1.66,0.17
sn2000fa-20010104.36-fast_snid,24.17,0.63
sn1996Z-19960524.18-fast_snid,13.78,0.41
sn2005hf-20051027.27-fast_snid,2.73,0.32
sn1995D-19950404.23-fast_snid,35.67,0.46
sn2007bc-20070524.16-fast_snid,34.62,0.46
sn1999by-19990613.16-fast_snid,35.60,0.81
sn2007kk-20071010.39-fast_snid,-0.72,0.17
sn1999ac-19990312.53-fast_snid,-0.67,0.16
sn2002bs-20020409.34-fast_snid,23.11,0.64
sn2000cf-20000602.33-fast_snid,31.49,0.44
sn2002bf-20020309.25-fast_snid,3.31,0.41
sn1996ai-19960621.23-fast_snid,-0.95,0.15
sn2003cg-20030411.23-fast_snid,12.85,0.31
sn2006et-20060918.36-fast_snid,-0.53,0.16
sn2002aw-20020220.52-fast_snid,-1.26,0.16
sn1996Z-19960520.17-fast_snid,4.94,0.21
sn2002fk-20030101.21-fast_snid,71.46,2.03
sn2004az-20040325.26-fast_snid,31.67,0.38
sn2002jm-20021211.49-fast_snid,13.65,1.06
sn2000dg-20000903.37-fast_snid,-0.11,0.16
sn2008Z-20080307.27-fast_snid,25.06,1.45
sn2007co-20070617.34-fast_snid,0.01,0.17
sn2007af-20070310.46-fast_snid,-1.80,0.16
sn1998dm-19981015.34-fast_snid,35.37,0.45
sn1998bu-19980528.19-fast_snid,5.50,0.20
sn2002dk-20020618.43-fast_snid,1.71,0.52
sn1995E-19950224.27-fast_snid,-2.11,0.17
sn2007le-20071218.12-fast_snid,36.44,0.87
sn1996X-19960508.26-fast_snid,31.19,0.59
sn2006lf-20061226.26-fast_snid,41.08,0.77
sn2005cf-20050726.18-fast_snid,35.16,0.45
sn1994D-19940321.35-fast_snid,-1.65,0.16
sn2008A-20080226.14-fast_snid,32.53,0.42
sn2003it-20031023.25-fast_snid,-1.52,0.16
sn2006cj-20060601.28-fast_snid,1.98,0.20
sn2001gb-20011122.50-fast_snid,-1.25,0.17
sn2003kd-20031204.32-fast_snid,2.29,0.18
sn2006dt-20060721.20-fast_snid,0.65,0.22
sn2006S-20060224.39-fast_snid,22.70,0.65
sn2002bz-20020407.38-fast_snid,-0.49,0.16
sn2005cf-20050609.27-fast_snid,-3.00,0.21
sn2003ek-20030531.35-fast_snid,12.88,2.62
sn2002br-20020403.18-fast_snid,28.58,0.44
sn2002bo-20020517.18-fast_snid,42.89,0.87
sn2003iu-20031119.18-fast_snid,27.10,0.52
sn1994D-19940310.36-mmt_snid,-2.84,0.23
sn2000fa-20001228.41-fast_snid,16.49,0.57
sn2003cq-20030409.25-fast_snid,-1.24,0.16
sn2000cf-20000511.34-fast_snid,-0.50,0.15
sn2003hm-20030922.47-fast_snid,66.95,3.08
sn2007is-20071011.13-fast_snid,25.71,0.59
sn2002bz-20020409.36-fast_snid,0.11,0.15
sn2001V-20010221.39-fast_snid,-5.47,0.37
sn2001cp-20010725.26-fast_snid,30.49,0.54
sn2007sr-20071231.53-fast_snid,19.12,0.56
sn2001en-20011015.31-fast_snid,0.26,0.18
sn2006lf-20061125.34-fast_snid,32.51,0.52
sn2006cm-20060528.45-fast_snid,-2.22,0.67
sn2002dj-20020712.17-fast_snid,16.03,0.39
sn1998es-19981117.20-fast_snid,-5.93,0.30
sn2001G-20010223.29-fast_snid,31.82,0.48
sn2004fu-20041119.07-fast_snid,-1.24,0.16
sn2006X-20060323.35-fast_snid,34.53,0.50
sn2005A-20050111.04-ldss2_snid,2.00,0.27
sn1998bp-19980719.25-fast_snid,56.73,2.80
sn2007qe-20071216.12-fast_snid,21.40,0.61
sn2002bf-20020321.22-fast_snid,15.92,0.38
sn1994S-19940712.18-fast_snid,32.36,0.48
sn2005hf-20051028.22-fast_snid,5.64,0.26
sn1998es-19981214.18-fast_snid,24.60,0.77
sn2007le-20080101.11-fast_snid,39.43,1.30
sn2002bo-20020409.20-fast_snid,21.14,0.57
sn1998dk-19980913.39-fast_snid,13.29,0.24
sn2007al-20070312.31-fast_snid,0.22,0.57
sn2002aw-20020217.51-fast_snid,-1.86,0.15
sn2002dp-20020620.47-fast_snid,-2.03,0.16
sn2006gr-20061003.26-fast_snid,-1.49,0.16
sn2006R-20060129.53-fast_snid,31.45,0.40
sn1999gh-20000210.33-fast_snid,56.88,1.75
sn2007af-20070327.45-fast_snid,19.52,0.57
sn2001ah-20010524.26-mmt_snid,33.55,0.41
sn1998ab-19980503.26-fast_snid,30.98,0.47
sn1998bn-19980430.27-fast_snid,-1.97,0.15
sn1997cn-19970701.25-mmt_snid,41.04,0.84
sn2002cx-20030402.31-ldss2_snid,29.64,1.76
sn2002eu-20020907.49-fast_snid,3.93,0.20
sn1999gh-19991212.50-fast_snid,26.61,0.57
sn1994D-19940510.16-fast_snid,41.97,0.92
sn1997br-19970602.19-fast_snid,33.77,0.43
sn2005hk-20051109.22-fast_snid,1.94,1.05
sn2006su-20061224.53-fast_snid,32.03,0.42
sn1999dq-19990920.46-fast_snid,0.49,0.17
sn2005cf-20050903.14-fast_snid,56.62,1.64
sn1998aq-19980430.24-fast_snid,-1.58,0.15
sn2005bo-20050510.29-fast_snid,31.04,0.39
sn1999ac-19990417.50-fast_snid,29.53,0.39
sn2001en-20011117.19-fast_snid,33.14,0.39
sn2002de-20020617.23-fast_snid,7.41,0.22
sn2002hu-20021206.29-fast_snid,30.98,0.59
sn2003ic-20030927.38-fast_snid,0.85,0.47
sn2005M-20050309.26-fast_snid,31.33,0.39
sn2006cp-20060722.17-fast_snid,34.11,0.45
sn2004ef-20040918.28-fast_snid,-0.46,0.17
sn2004dt-20041015.34-fast_snid,40.08,0.82
sn2002eu-20020903.46-fast_snid,-1.09,0.17
sn2007F-20070115.53-fast_snid,-2.45,0.18
sn2002cs-20020507.39-fast_snid,-2.18,0.18
sn2007af-20070611.20-fast_snid,60.01,1.88
sn1999ac-19990325.50-fast_snid,13.72,0.41
sn2003cg-20030401.22-fast_snid,-1.03,0.16
sn2001N-20010221.34-fast_snid,26.27,0.55
sn2001gc-20011219.48-fast_snid,20.99,0.55
sn2002bf-20020320.22-fast_snid,15.63,0.36
sn2002bo-20020512.17-fast_snid,40.16,0.72
sn2006oq-20061121.53-fast_snid,19.49,0.52
sn2003cg-20030329.29-fast_snid,-1.46,0.16
sn1996Z-19960522.17-fast_snid,9.99,0.22
sn2002he-20021030.48-fast_snid,-1.68,0.17
sn2003it-20031101.21-fast_snid,7.77,0.20
sn1998eg-19981024.15-fast_snid,-1.82,0.16
sn2008E-20080203.40-fast_snid,30.96,0.52
sn1995bd-19951226.26-fast_snid,-7.48,0.30
sn2003kf-20031229.32-fast_snid,25.40,0.69
sn2002jg-20021211.14-fast_snid,10.85,0.23
sn2006bz-20060506.16-fast_snid,-0.02,0.29
sn2006cj-20060604.27-fast_snid,8.46,0.45
sn2003cg-20030327.27-fast_snid,-1.76,0.17
sn1998ef-19981023.37-fast_snid,-1.79,0.16
sn2001ay-20010502.30-fast_snid,8.58,0.23
sn2001V-20010301.47-fast_snid,-1.58,0.23
